BSML,CJL,CS,DS300Z,DS3Z,DS600Z,GJ,GLLYL,HKYH,JC,JS,XRJS,KZX,MD,ND,PL,PSSD,PZS,PZZJ1,PZZJ2,QCJS,QL10F,QXJC,QXQSJS,HJQXZSJ,SHL,YXCD,YXZJ,ZBY,ZGSFSD,ZJSJHJ,ZS1,ZTJJZS, ZTCC,ZTSFSD,ZTSML,ZTYJ,ZY,ZS
9.770000458,540.2399902,97,,,,150,39,11.03999996,11.5,3114.550049,3114.550049,,1.25,,48,94.76999664,2,,,3097,,,,8.33333,,,,18,1.460000038,1.7,78,6.760000229,241,2.319999933,445.6400146,6.960000038,40,6.764705882
9.770000458,540.2399902,97,,,,150,39,11.03999996,135.4499512,2946,2946,,1.26,,48,94.76999664,2,,,3250,,,,11.33333,,,,18,1.460000038,35.5,78,3.799999952,241,2.319999933,445.6400146,6.960000038,40,3.815491582
,,93,,,,150,,,7.520019531,2980,2980,,1.16,,20,,,,,2953.52002,,,,9.25,,,,5,0,6.08333,78,0,216,,,,40,1.236168272
,,93,,,,150,,,7.060058594,3015,3015,,1.23,,20,,,,,2987.060059,,,,9.75,,,,5,0,7.75,78,0,216,,,,40,0.910975302
,,93,,,,150,,,9.120117188,3069,3069,,1.24,,20,,,,,3024.120117,,,,7.6666,,,,5,0,7,78,0,216,,,,40,1.302873884
,,93,,,,150,,,9.300048828,3078.300049,3078.300049,,1.24,,20,,,,,3078.300049,,,,9.25,,,,5.5,0,3.75,78,0,216,,,,40,2.480013021
,,93,,,,150,,,7.199951172,3097,3097,,1.25,,20,,,,,3085.5,,,,7.61666,,,,5.5,0,5.66666,78,0,216,,,,40,1.270581113
,,93,,,,150,,,9.350097656,3106.350098,3106.350098,,1.25,,20,,,,,3106.350098,,,,8.3333,,,,6,0,4.66666,78,0,216,,,,40,2.003595217
,,93,,,,150,,,8.199951172,,,,1.25,,20,,,,,3114.550049,,,,8.5,,,,6,0,3.8,78,0,216,,,,40,2.157881887
,,,,,,,,,8.279907227,,,,,,20,,,,,,,8.279999733,1526.040039,,97.83000183,8.100000381,105,3,,,92,,,,,,50,5.519938
,,,,,,,,,9.400024414,,,,,,20,,,,,,,9.399999619,1534.319946,,100,9.399999619,105,3,,,92,,,,,,50,7.230788011
,,,,,,,,,9.5,,,,,,20,,,,,,,9.5,1543.719971,,100,9.5,105,3,,,92,,,,,,50,14.25
,,,,,,,,,7.820068359,,,,,,,,,,,,,7.820000172,2946,,100,7.820000172,,,,,,,,,,,,1.303344727
,,,,,,,,,-992.9399414,,,,,,,,,,,,,7.820000172,2980,,100,7.059999943,,,,,,,,,,,,
,,,,,,,,,9.120117188,,,,,,,,,,,,,7.820000172,3015,,100,9.119999886,,,,,,,,,,,,1.302873884
,,,,,,,,,9.300048828,,,,,,,,,,,,,7.820000172,3069,,97.09999847,9.029999733,,,,,,,,,,,,11.16005859
,,,,,,,,,7.199951172,,,,,,,,,,,,,7.820000172,3078.300049,,96.66999817,6.960000038,,,,,,,,,,,,1.270579619
,,,,,,,,,9.350097656,,,,,,,,,,,,,7.820000172,3097,,100,9.350000381,,,,,,,,,,,,2.003592355
,,,,,,,,,8.199951172,,,,,,,,,,,,,7.820000172,3106.350098,,100,8.199999809,,,,,,,,,,,,2.139117697
,,,,,,,,,9.199951172,,,,,,20,,,,,,,9.199999809,2460.800049,,100,9.199999809,100,6,,,60,,,,,,60,3.066650391
,,,,,,,,,9.400146484,,,,,,20,,,,,,,9.399999619,2537.429932,,100,9.399999619,100,6,,,60,,,,,,60,2.350036621
,,,,,,,,,7.100097656,,,,,,20,,,,,,,7.099999905,2676,,100,7.099999905,100,6,,,60,,,,,,60,4.733398438
,,,,,,,,,8.680053711,,,,,,35,,,,,,,8.680000305,1650.439941,,100,8.680000305,100,11,,,73,,,,,,80,0.708575813
,,,,,,,,,8.690063477,,,,,,35,,,,,,,8.68999958,1659.119995,,99.54000092,8.649999619,100,12,,,73,,,,,,80,1.086257935
,,,,,,,,,9,,,,,,45,,,,,,,9,1667.810059,,100.4400024,9.039999962,100,13,,,117,,,,,,80,1.058823529
,,,,,,,,,8.819946289,,,,,,35,,,,,,,8.819999695,1676.810059,,99.76999664,8.800000191,100,13,,,117,,,,,,80,0.853543217
,,,,,,,,,9.030029297,,,,,,35,,,,,,,9.029999733,1685.630005,,100.2200012,9.050000191,100,12,,,73,,,,,,80,0.703638648
,,,,,,,,,2.41003418,,,,,,23,,,,,,,2.410000086,1685.099976,,100,2.410000086,103,9,,,67,,,,,,40,0.348438677
,,,,,,,,,7.08996582,,,,,,23,,,,,,,7.090000153,1687.51001,,100,7.090000153,103,9,,,67,,,,,,40,1.063494884
,,,,,,,,,6.530029297,,,,,,23,,,,,,,6.53000021,1694.599976,,100,6.53000021,103,9,,,67,,,,,,40,2.176676432
,,,,,,,,,9.300048828,,,,,,23,,,,,,,9.300000191,1701.130005,,100,9.300000191,103,9,,,67,,,,,,40,1.162506104
,,,,,,,,,9.209960938,,,,,,23,,,,,,,9.210000038,1710.430054,,100,9.210000038,103,9,,,67,,,,,,40,1.782573108
,,,,,,,,,17.20996094,,,,,,23,,,,,,,17.20999908,1719.640015,,38.81000137,6.679999828,103,9,,,67,,,,,,40,1.51852597
,,,,,,,,,9.479980469,,,,,,23,,,,,,,9.479999542,1741.050049,,100,9.479999542,103,9,,,67,,,,,,40,2.275195316
,,,,,,,,,1.25,,,,,,23,,,,,,,1.25,1750.530029,,100,1.25,103,9,,,67,,,,,,40,0.125
,,,,,,,,,6.530029297,,,,,,23,,,,,,,6.53000021,1752.939941,,100,6.53000021,103,9,,,67,,,,,,40,1.506929839
,,,,,,,,,2.790039063,,,,,,23,,,,,,,2.789999962,1759.469971,,100,2.789999962,103,9,,,67,,,,,,40,0.797154018
,,,,,,,,,3.640014648,,,,,,23,,,,,,,3.640000105,1778.859985,,100,3.640000105,103,9,,,67,,,,,,40,0.766318873
,,,,,,,,,6.670043945,,,,,,23,,,,,,,6.670000076,1782.5,,100,6.670000076,103,9,,,67,,,,,,45,1.600810547
,,,,,,,,,6.429931641,,,,,,23,,,,,,,6.429999828,1789.170044,,98.91000366,6.360000134,103,9,,,67,,,,,,45,11.02273996
,,,,,,,,,1.16003418,,,,,,23,,,,,,,1.159999967,1795.599976,,100,1.159999967,103,9,,,67,,,,,,45,0.480014143
,,,,,,,,,8.119995117,,,,,,23,,,,,,,8.119999886,1796.959961,,90.01999664,7.309999943,103,9,,,67,,,,,,45,0.87783731
,,,,,,,,,5.520019531,,,,,,23,,,,,,,5.519999981,1805.079956,,100,5.519999981,103,9,,,67,,,,,,45,1.440005096
,,,,,,,,,2.550048828,,,,,,23,,,,,,,2.549999952,1816.599976,,100,2.549999952,103,9,,,67,,,,,,45,0.443486753
,,,,,,,,,4.709960938,,,,,,23,,,,,,,4.710000038,1819.150024,,100,4.710000038,103,9,,,67,,,,,,45,1.487356089
,,,,,,,,,5.400024414,,,,,,23,,,,,,,5.400000095,1823.859985,,100,5.400000095,103,9,,,67,,,,,,45,0.952945486
,,,,,,,,,4.020019531,,,,,,23,,,,,,,4.019999981,1829.26001,,100,4.019999981,103,9,,,67,,,,,,45,0.603002936
,,,,,,,,,8.719970703,,,,,,23,,,,,,,8.720000267,1833.280029,,100,8.720000267,103,9,,,67,,,,,,45,2.179992676
,,,,,,,,,8.189941406,,,,,,23,,,,,,,8.18999958,1842,,100,8.18999958,103,9,,,67,,,,,,45,1.637988281
,,,,,,,,,5.16003418,,,,,,23,,,,,,,5.159999847,1850.189941,,100,5.159999847,103,9,,,67,,,,,,45,0.543161493
,,,,,,,,,5.690063477,,,,,,23,,,,,,,5.690000057,1896.819946,,100,5.690000057,103,9,,,67,,,,,,45,0.611834782
,,,,,,,,,4.739990234,,,,,,23,,,,,,,4.739999771,1902.51001,,100,4.739999771,103,9,,,67,,,,,,45,1.777496782
,,,,,,,,,5.439941406,,,,,,23,,,,,,,5.440000057,1907.25,,100,5.440000057,103,9,,,67,,,,,,45,1.019989077
,,,,,,,,,7.960083008,,,,,,23,,,,,,,7.960000038,1912.689941,,100,7.960000038,103,9,,,67,,,,,,45,1.836942234
,,,,,,,,,7.849975586,,,,,,23,,,,,,,7.849999905,1920.650024,,100,7.849999905,103,9,,,67,,,,,,45,1.177496456
,,,,,,,,,7.029907227,,,,,,23,,,,,,,7.03000021,1954.410034,,100,7.03000021,103,10,,,67,,,,,,45,1.591677132
,,,,,,,,,7.650024414,,,,,,23,,,,,,,7.650000095,1961.439941,,100,7.650000095,103,10,,,67,,,,,,45,0.976598866
,,,,,,,,,8.080078125,,,,,,23,,,,,,,8.079999924,1969.089966,,100,8.079999924,103,10,,,67,,,,,,50,0.808007813
,,,,,,,,,8.729980469,,,,,,23,,,,,,,8.729999542,1977.170044,,100,8.729999542,103,10,,,67,,,,,,50,1.806202868
,,,,,,,,,9.729980469,,,,,,23,,,,,,,9.729999542,2015.619995,,97.12000275,9.449999809,103,10.5,,,67,,,,,,50,3.434110794
,,,,,,,,,7.880004883,,,,,,23,,,,,,,7.880000114,2041.319946,,100,7.880000114,103,10.5,,,67,,,,,,50,0.844286539
,,,,,,,,,7.139892578,,,,,,23,,,,,,,7.139999866,2060.050049,,100,7.139999866,103,11,,,67,,,,,,50,2.379964193
,,,,,,,,,5.810058594,,,,,,23,,,,,,,5.809999943,2067.189941,,100,5.809999943,104,11,,,67,,,,,,45,1.340782763
